iter	Passed	Remaining
0	145	145506
1	148	73937
2	149	49797
3	151	37638
4	152	30277
5	153	25354
6	154	21860
7	154	19206
8	155	17121
9	156	15480
10	157	14131
11	157	13007
12	158	12046
13	159	11224
14	160	10516
15	160	9896
16	161	9350
17	162	8864
18	163	8443
19	164	8057
20	165	7706
21	166	7383
22	166	7089
23	167	6816
24	168	6573
25	169	6348
26	170	6135
27	171	5939
28	171	5756
29	172	5588
30	173	5432
31	174	5282
32	175	5139
33	176	5005
34	177	4880
35	177	4762
36	178	4647
37	179	4538
38	180	4436
39	181	4345
40	182	4257
41	182	4173
42	183	4093
43	184	4014
44	185	3939
45	186	3867
46	187	3796
47	188	3729
48	188	3666
49	189	3605
50	190	3546
51	191	3488
52	192	3433
53	192	3379
54	193	3327
55	194	3277
56	195	3228
57	196	3184
58	196	3140
59	197	3097
60	198	3056
61	199	3016
62	200	2976
63	200	2938
64	201	2901
65	202	2865
66	203	2830
67	203	2791
68	204	2758
69	205	2725
70	205	2694
71	206	2665
72	207	2636
73	208	2607
74	209	2580
75	209	2552
76	210	2526
77	211	2499
78	212	2473
79	212	2448
80	213	2424
81	214	2400
82	215	2377
83	215	2354
84	216	2330
85	217	2310
86	217	2286
87	218	2266
88	219	2246
89	220	2227
90	221	2209
91	221	2190
92	222	2172
93	223	2154
94	224	2136
95	225	2119
96	225	2103
97	226	2087
98	227	2070
99	228	2054
100	229	2039
101	229	2020
102	230	2005
103	230	1989
104	231	1974
105	232	1959
106	233	1944
107	233	1930
108	234	1917
109	235	1904
110	236	1890
111	237	1883
112	238	1870
113	238	1857
114	239	1844
115	240	1831
116	241	1819
117	241	1807
118	242	1795
119	243	1784
120	244	1773
121	244	1762
122	245	1749
123	246	1738
124	246	1727
125	247	1717
126	248	1706
127	248	1694
128	249	1684
129	250	1675
130	251	1665
131	251	1656
132	252	1647
133	253	1638
134	254	1628
135	254	1619
136	255	1610
137	256	1601
138	257	1592
139	257	1583
140	258	1576
141	259	1567
142	260	1559
143	260	1550
144	261	1542
145	262	1535
146	263	1526
147	263	1519
148	264	1511
149	265	1503
150	266	1496
151	266	1489
152	267	1481
153	268	1474
154	269	1467
155	270	1461
156	270	1454
157	271	1447
158	272	1440
159	273	1433
160	273	1426
161	274	1419
162	275	1413
163	275	1406
164	276	1400
165	277	1394
166	278	1387
167	279	1382
168	279	1376
169	280	1369
170	281	1364
171	282	1358
172	282	1352
173	283	1346
174	284	1340
175	285	1334
176	285	1329
177	286	1323
178	287	1318
179	288	1313
180	288	1306
181	289	1300
182	290	1295
183	290	1289
184	291	1284
185	292	1279
186	293	1274
187	293	1269
188	294	1264
189	295	1259
190	296	1254
191	296	1249
192	297	1244
193	298	1240
194	299	1235
195	300	1230
196	300	1225
197	301	1221
198	302	1216
199	303	1212
200	303	1208
201	304	1203
202	305	1199
